ID	Term	Type	Preferred_form
COND148	evo oxygen	COLOMBOS	evo oxygen
COND149	EVO PaeR7IRM	COLOMBOS	EVO PaeR7IRM
COND150	EVO pH	COLOMBOS	EVO pH
COND151	evo thiaminehcl	COLOMBOS	evo thiaminehcl
COND152	FeSO4	COLOMBOS	FeSO4
COND153	F phenotype	COLOMBOS	F phenotype
COND154	F plasmid	COLOMBOS	F plasmid
COND155	fglycine betaine	COLOMBOS	fglycine betaine
COND156	growth rate	COLOMBOS	growth rate
COND157	gsno	COLOMBOS	gsno
COND158	H2O2	COLOMBOS	H2O2
COND159	HEp-2	COLOMBOS	HEp-2
COND160	hepes	COLOMBOS	hepes
COND161	HOCl	COLOMBOS	HOCl
COND162	human urine	COLOMBOS	human urine
COND163	hygromycin b	COLOMBOS	hygromycin b
COND164	indole	COLOMBOS	indole
COND165	indole acrylate	COLOMBOS	indole acrylate
COND166	iptg	COLOMBOS	iptg
COND167	isobutanol	COLOMBOS	isobutanol
COND168	isoleucine	COLOMBOS	isoleucine
COND169	istatin	COLOMBOS	istatin
COND170	K12	COLOMBOS	K12
COND171	kanamycin	COLOMBOS	kanamycin
COND172	KNO3	COLOMBOS	KNO3
COND173	lac2	COLOMBOS	lac2
COND174	lac3	COLOMBOS	lac3
COND175	lactate	COLOMBOS	lactate
COND176	lag	COLOMBOS	lag
COND177	lambda	COLOMBOS	lambda
COND178	lb	COLOMBOS	lb
COND179	leucine	COLOMBOS	leucine
COND180	L-FORM COLONY	COLOMBOS	L-FORM COLONY
COND181	LZ41	COLOMBOS	LZ41
COND182	LZ54	COLOMBOS	LZ54
COND183	m9	COLOMBOS	m9
COND184	maj	COLOMBOS	maj
COND185	MDS42	COLOMBOS	MDS42
COND186	mecillinam	COLOMBOS	mecillinam
COND187	MG1655	COLOMBOS	MG1655
COND188	MGAdp	COLOMBOS	MGAdp
COND189	Mg kan N15+	COLOMBOS	Mg kan N15+
COND190	Mg kan tos N15 	COLOMBOS	Mg kan tos N15 
COND191	Mg kan tos N15+	COLOMBOS	Mg kan tos N15+
COND192	MgSO4	COLOMBOS	MgSO4
COND193	MGStat	COLOMBOS	MGStat
COND194	min growth	COLOMBOS	min growth
COND195	mops	COLOMBOS	mops
COND196	mops rich	COLOMBOS	mops rich
COND197	mucus	COLOMBOS	mucus
COND198	mutation	COLOMBOS	mutation
COND199	NaCl	COLOMBOS	NaCl
COND200	nalidixic acid	COLOMBOS	nalidixic acid
COND201	NaNO2	COLOMBOS	NaNO2
COND202	NISSLE	COLOMBOS	NISSLE
COND203	NO2	COLOMBOS	NO2
COND204	NOC5	COLOMBOS	NOC5
COND205	NOC7	COLOMBOS	NOC7
COND206	norepinephrine	COLOMBOS	norepinephrine
COND207	novobiocin	COLOMBOS	novobiocin
COND208	O157H7	COLOMBOS	O157H7
COND209	OD600	COLOMBOS	OD600
COND210	oxygen	COLOMBOS	oxygen
COND211	p23 g9	COLOMBOS	p23 g9
COND212	p5 g21	COLOMBOS	p5 g21
COND213	pantothenic acid	COLOMBOS	pantothenic acid
COND214	paromycin	COLOMBOS	paromycin
COND215	pBAD33	COLOMBOS	pBAD33
COND216	pBADRNE	COLOMBOS	pBADRNE
COND217	pBADx53	COLOMBOS	pBADx53
COND218	pBR322	COLOMBOS	pBR322
COND219	pBRThrABC	COLOMBOS	pBRThrABC
COND220	pBS(kan)	COLOMBOS	pBS(kan)
COND221	penassay	COLOMBOS	penassay
COND222	penicillin g	COLOMBOS	penicillin g
COND223	pGIT1	COLOMBOS	pGIT1
COND224	pGIT8	COLOMBOS	pGIT8
COND225	phase	COLOMBOS	phase
COND226	pHDB3	COLOMBOS	pHDB3
COND227	phenotype strain	COLOMBOS	phenotype strain
COND228	phmb	COLOMBOS	phmb
COND229	pKK223 3	COLOMBOS	pKK223 3
COND230	planktonic	COLOMBOS	planktonic
COND231	plasmid	COLOMBOS	plasmid
COND232	pLCV1	COLOMBOS	pLCV1
COND233	pM30	COLOMBOS	pM30
COND234	pMMB277	COLOMBOS	pMMB277
COND235	pmx10070	COLOMBOS	pmx10070
COND236	pNRNE5	COLOMBOS	pNRNE5
COND237	polymyxin b	COLOMBOS	polymyxin b
COND238	pOri1	COLOMBOS	pOri1
COND239	pOri2	COLOMBOS	pOri2
COND240	pRNG3	COLOMBOS	pRNG3
COND241	pROEx-CAT	COLOMBOS	pROEx-CAT
COND242	promethazin	COLOMBOS	promethazin
COND243	puromycin	COLOMBOS	puromycin
COND244	pv98	COLOMBOS	pv98
COND245	R1drd19	COLOMBOS	R1drd19
COND246	rifampicin	COLOMBOS	rifampicin
COND247	SeOH	COLOMBOS	SeOH
COND248	SH3208	COLOMBOS	SH3208
COND249	sodium benzoate	COLOMBOS	sodium benzoate
COND250	sstreptomycin	COLOMBOS	sstreptomycin
COND251	sucrose	COLOMBOS	sucrose
COND252	sulfisoxazole	COLOMBOS	sulfisoxazole
COND253	tannine	COLOMBOS	tannine
COND254	TG1	COLOMBOS	TG1
COND255	thymine	COLOMBOS	thymine
COND256	trpA46PR9	COLOMBOS	trpA46PR9
COND257	TW14359	COLOMBOS	TW14359
COND258	UTI89	COLOMBOS	UTI89
COND259	uv	COLOMBOS	uv
COND260	VR50	COLOMBOS	VR50
COND261	ZnSO4	COLOMBOS	ZnSO4
ECK120002607	C0067	GENE	C0067
ECK120002608	C0293	GENE	C0293
ECK120002609	C0299	GENE	C0299
ECK120002611	C0343	GENE	C0343
ECK120002613	C0362	GENE	C0362
ECK120002614	C0465	GENE	C0465
ECK120002618	C0614	GENE	C0614
ECK120002621	C0664	GENE	C0664
ECK120002622	C0719	GENE	C0719
ECK120002619	IS128	GENE	IS128
ECK125121983	IS129	GENE	IS129
ECK120004233	aaeA	GENE	aaeA
ECK120004232	aaeB	GENE	aaeB
ECK120004235	aaeR	GENE	aaeR
ECK120004234	aaeX	GENE	aaeX
ECK120001622	aas	GENE	aas
ECK120001098	aat	GENE	aat
ECK120003265	abgA	GENE	abgA
ECK120003264	abgB	GENE	abgB
ECK120003266	abgR	GENE	abgR
ECK120002401	abgT	GENE	abgT
ECK120002984	abrB	GENE	abrB
ECK120001591	accA	GENE	accA
ECK120000269	accB	GENE	accB
ECK120000270	accC	GENE	accC
ECK120000211	accD	GENE	accD
ECK120000019	aceA	GENE	aceA
ECK120000020	aceB	GENE	aceB
ECK120000021	aceE	GENE	aceE
ECK120000022	aceF	GENE	aceF
ECK120000023	aceK	GENE	aceK
ECK120000024	ackA	GENE	ackA
ECK120002672	ackB	GENE	ackB
ECK120001296	acnA	GENE	acnA
ECK120002193	acnB	GENE	acnB
ECK120001083	acpH	GENE	acpH
ECK120002562	acpP	GENE	acpP
ECK120000241	acpS	GENE	acpS
ECK120002107	acpT	GENE	acpT
ECK120001646	acrA	GENE	acrA
ECK120001647	acrB	GENE	acrB
ECK120000012	acrD	GENE	acrD
ECK120000260	acrE	GENE	acrE
ECK120000261	acrF	GENE	acrF
ECK120002020	acrR	GENE	acrR
ECK120002996	acrZ	GENE	acrZ
ECK120001411	acs	GENE	acs
ECK120001870	actP	GENE	actP
ECK120000026	ada	GENE	ada
ECK120000027	add	GENE	add
ECK120001635	ade	GENE	ade
ECK120000028	adhE	GENE	adhE
ECK120003364	adhP	GENE	adhP
ECK120001457	adiA	GENE	adiA
ECK120002306	adiC	GENE	adiC
ECK120001892	adiY	GENE	adiY
ECK120000029	adk	GENE	adk
ECK120001232	adrA	GENE	adrA
ECK120002270	aegA	GENE	aegA
ECK120004149	aer	GENE	aer
ECK120001089	aes	GENE	aes
ECK120002757	afuB	GENE	afuB
ECK120002215	afuC	GENE	afuC
ECK120002380	agaA	GENE	agaA
ECK120002382	agaB	GENE	agaB
ECK120002383	agaC	GENE	agaC
ECK120004185	agaD	GENE	agaD
ECK120004186	agaI	GENE	agaI
ECK120004180	agaR	GENE	agaR
ECK120004184	agaS	GENE	agaS
ECK120004182	agaV	GENE	agaV
ECK120004183	agaW	GENE	agaW
ECK120000030	agp	GENE	agp
ECK120001351	ahpC	GENE	ahpC
ECK120001352	ahpF	GENE	ahpF
ECK120001745	aidB	GENE	aidB
ECK120003741	ais	GENE	ais
ECK120003759	alaA	GENE	alaA
ECK120002630	alaB	GENE	alaB
ECK120003817	alaC	GENE	alaC
ECK120003966	alaE	GENE	alaE
ECK120000031	alaS	GENE	alaS
