ID	Term	Type	Preferred_form
ECK120002935	insL-2	GENE	insL-2
ECK120003829	insL-3	GENE	insL-3
ECK120026457	insM	GENE	insM
ECK120002750	insN-1	GENE	insN-1
ECK120004399	insN-2	GENE	insN-2
ECK120002752	insO-1	GENE	insO-1
ECK120004401	insO-2	GENE	insO-2
ECK120001717	intA	GENE	intA
ECK120002232	intB	GENE	intB
ECK120000500	intD	GENE	intD
ECK120002238	intE	GENE	intE
ECK120002772	intF	GENE	intF
ECK120003630	intG	GENE	intG
ECK120003426	intQ	GENE	intQ
ECK120003271	intR	GENE	intR
ECK120003793	intS	GENE	intS
ECK120003846	intZ	GENE	intZ
ECK125122009	ipeX	GENE	ipeX
ECK120004418	iraD	GENE	iraD
ECK120003195	iraM	GENE	iraM
ECK120001231	iraP	GENE	iraP
ECK125140822	iroK	GENE	iroK
ECK120002034	iscA	GENE	iscA
ECK120003898	iscR	GENE	iscR
ECK120003897	iscS	GENE	iscS
ECK120003896	iscU	GENE	iscU
ECK120002188	iscX	GENE	iscX
ECK120000501	ispA	GENE	ispA
ECK120000015	ispB	GENE	ispB
ECK120003988	ispD	GENE	ispD
ECK120001267	ispE	GENE	ispE
ECK120001749	ispF	GENE	ispF
ECK120000363	ispG	GENE	ispG
ECK120001069	ispH	GENE	ispH
ECK120002712	ispU	GENE	ispU
ECK120002615	isrB	GENE	isrB
ECK120002616	isrC	GENE	isrC
ECK120015143	istR-1	GENE	istR-1
ECK120015142	istR-2	GENE	istR-2
ECK120001249	ivbL	GENE	ivbL
ECK120002724	ivy	GENE	ivy
ECK120000502	katE	GENE	katE
ECK120000504	katG	GENE	katG
ECK120002381	kbaY	GENE	kbaY
ECK120004181	kbaZ	GENE	kbaZ
ECK120000505	kbl	GENE	kbl
ECK120001554	kch	GENE	kch
ECK120002135	kdgK	GENE	kdgK
ECK120003590	kdgR	GENE	kdgR
ECK120001800	kdgT	GENE	kdgT
ECK120000506	kdpA	GENE	kdpA
ECK120000507	kdpB	GENE	kdpB
ECK120000508	kdpC	GENE	kdpC
ECK120000509	kdpD	GENE	kdpD
ECK120000510	kdpE	GENE	kdpE
ECK120016291	kdpF	GENE	kdpF
ECK120000511	kdsA	GENE	kdsA
ECK120000512	kdsB	GENE	kdsB
ECK120004211	kdsC	GENE	kdsC
ECK120004210	kdsD	GENE	kdsD
ECK120002229	kduD	GENE	kduD
ECK120004026	kduI	GENE	kduI
ECK120002444	kefB	GENE	kefB
ECK120000514	kefC	GENE	kefC
ECK120001520	kefF	GENE	kefF
ECK120004262	kefG	GENE	kefG
ECK120000515	kgtP	GENE	kgtP
ECK120002054	kilR	GENE	kilR
ECK120004423	kptA	GENE	kptA
ECK120001495	kup	GENE	kup
ECK120000517	lacA	GENE	lacA
ECK120000518	lacI	GENE	lacI
ECK120000519	lacY	GENE	lacY
ECK120000520	lacZ	GENE	lacZ
ECK120002734	lafU	GENE	lafU
ECK120000521	lamB	GENE	lamB
ECK120001829	lar	GENE	lar
ECK120003216	ldcA	GENE	ldcA
ECK120002714	ldcC	GENE	ldcC
ECK120002700	ldhA	GENE	ldhA
ECK120002655	ldrA	GENE	ldrA
ECK120002657	ldrB	GENE	ldrB
ECK120002659	ldrC	GENE	ldrC
ECK120002626	ldrD	GENE	ldrD
ECK120000522	lepA	GENE	lepA
ECK120000523	lepB	GENE	lepB
ECK120001204	leuA	GENE	leuA
ECK120001529	leuB	GENE	leuB
ECK120001528	leuC	GENE	leuC
ECK120001527	leuD	GENE	leuD
ECK120003571	leuE	GENE	leuE
ECK120001253	leuL	GENE	leuL
ECK120000524	leuO	GENE	leuO
ECK120002489	leuP	GENE	leuP
ECK120002490	leuQ	GENE	leuQ
ECK120000525	leuS	GENE	leuS
ECK120002491	leuT	GENE	leuT
ECK120002492	leuU	GENE	leuU
ECK120002493	leuV	GENE	leuV
ECK120002494	leuW	GENE	leuW
ECK120002495	leuX	GENE	leuX
ECK120002496	leuZ	GENE	leuZ
ECK120000526	lexA	GENE	lexA
ECK120002733	lfhA	GENE	lfhA
ECK120002030	lgt	GENE	lgt
ECK120002252	lhgO	GENE	lhgO
ECK120001502	lhr	GENE	lhr
ECK120000527	ligA	GENE	ligA
ECK120001305	ligB	GENE	ligB
ECK120002205	ligT	GENE	ligT
ECK120001279	lipA	GENE	lipA
ECK120001540	lipB	GENE	lipB
ECK120000528	lit	GENE	lit
ECK120000529	livF	GENE	livF
ECK120000530	livG	GENE	livG
ECK120000531	livH	GENE	livH
ECK120000532	livJ	GENE	livJ
ECK120000533	livK	GENE	livK
ECK120000534	livM	GENE	livM
ECK120001889	lldD	GENE	lldD
ECK120001887	lldP	GENE	lldP
ECK120001888	lldR	GENE	lldR
ECK120000164	lnt	GENE	lnt
ECK120001264	loiP	GENE	loiP
ECK120003065	lolA	GENE	lolA
ECK120001266	lolB	GENE	lolB
ECK120003169	lolC	GENE	lolC
ECK120003170	lolD	GENE	lolD
ECK120003171	lolE	GENE	lolE
ECK120003287	lomR_1	GENE	lomR_1
ECK120003289	lomR_2	GENE	lomR_2
ECK120000535	lon	GENE	lon
ECK120002726	lpcA	GENE	lpcA
ECK120000536	lpd	GENE	lpd
ECK120001730	lplA	GENE	lplA
ECK120002304	lplT	GENE	lplT
ECK120004192	lpoA	GENE	lpoA
ECK120003161	lpoB	GENE	lpoB
ECK120000537	lpp	GENE	lpp
ECK120004213	lptA	GENE	lptA
ECK120001623	lptB	GENE	lptB
ECK120004212	lptC	GENE	lptC
ECK120001521	lptD	GENE	lptD
ECK120000846	lptE	GENE	lptE
ECK120004383	lptF	GENE	lptF
ECK120004384	lptG	GENE	lptG
ECK120000538	lpxA	GENE	lpxA
ECK120000539	lpxB	GENE	lpxB
ECK120000259	lpxC	GENE	lpxC
ECK120000310	lpxD	GENE	lpxD
ECK120002352	lpxH	GENE	lpxH
ECK120001375	lpxK	GENE	lpxK
ECK120000457	lpxL	GENE	lpxL
ECK120000607	lpxM	GENE	lpxM
ECK120003816	lpxP	GENE	lpxP
ECK120003724	lpxT	GENE	lpxT
ECK120002026	lrhA	GENE	lrhA
ECK120000540	lrp	GENE	lrp
ECK120000541	lspA	GENE	lspA
ECK120003389	lsrA	GENE	lsrA
ECK120003392	lsrB	GENE	lsrB
ECK120003390	lsrC	GENE	lsrC
ECK120003391	lsrD	GENE	lsrD
ECK120003393	lsrF	GENE	lsrF
ECK120003394	lsrG	GENE	lsrG
ECK120003387	lsrK	GENE	lsrK
ECK120003388	lsrR	GENE	lsrR
ECK120003055	ltaE	GENE	ltaE
ECK120002369	luxS	GENE	luxS
ECK120000542	lysA	GENE	lysA
ECK120000543	lysC	GENE	lysC
ECK125121993	lysC5'	GENE	lysC5'
ECK120001308	lysP	GENE	lysP
ECK120002992	lysQ	GENE	lysQ
ECK120000544	lysR	GENE	lysR
ECK120000545	lysS	GENE	lysS
ECK120002497	lysT	GENE	lysT
ECK120000546	lysU	GENE	lysU
ECK120002498	lysV	GENE	lysV
ECK120002499	lysW	GENE	lysW
ECK120002990	lysY	GENE	lysY
ECK120002991	lysZ	GENE	lysZ
ECK120002165	lyxK	GENE	lyxK
ECK120002699	maa	GENE	maa
ECK120003061	macA	GENE	macA
ECK120003062	macB	GENE	macB
ECK120000937	maeA	GENE	maeA
ECK120003867	maeB	GENE	maeB
ECK120001261	mak	GENE	mak
ECK120000547	malE	GENE	malE
ECK120000548	malF	GENE	malF
ECK120000549	malG	GENE	malG
ECK120000550	malI	GENE	malI
ECK120000551	malK	GENE	malK
ECK120000552	malM	GENE	malM
ECK120000553	malP	GENE	malP
ECK120000554	malQ	GENE	malQ
ECK120001287	malS	GENE	malS
ECK120000555	malT	GENE	malT
ECK120000556	malX	GENE	malX
ECK120000557	malY	GENE	malY
ECK120000558	malZ	GENE	malZ
ECK120000559	manA	GENE	manA
ECK120000560	manX	GENE	manX
ECK120000561	manY	GENE	manY
ECK120000562	manZ	GENE	manZ
ECK120000563	map	GENE	map
ECK120001398	marA	GENE	marA
ECK120001547	marB	GENE	marB
ECK120001584	marC	GENE	marC
ECK120001399	marR	GENE	marR
ECK120002403	matP	GENE	matP
ECK120000564	mazE	GENE	mazE
ECK120001224	mazF	GENE	mazF
ECK120000565	mazG	GENE	mazG
ECK120002610	mcaS	GENE	mcaS
ECK120003015	mcbA	GENE	mcbA
ECK120003350	mcbR	GENE	mcbR
ECK120000566	mcrA	GENE	mcrA
ECK120000567	mcrB	GENE	mcrB
ECK120000568	mcrC	GENE	mcrC
ECK120002346	mdaB	GENE	mdaB
ECK120003040	mdfA	GENE	mdfA
ECK120000569	mdh	GENE	mdh
ECK120002859	mdlA	GENE	mdlA
ECK120001570	mdlB	GENE	mdlB
ECK120002326	mdoB	GENE	mdoB
ECK120003148	mdoC	GENE	mdoC
ECK120002405	mdoD	GENE	mdoD
ECK120001815	mdoG	GENE	mdoG
ECK120001816	mdoH	GENE	mdoH
ECK120003699	mdtA	GENE	mdtA
ECK120003700	mdtB	GENE	mdtB
ECK120003701	mdtC	GENE	mdtC
ECK120002037	mdtD	GENE	mdtD
ECK120002123	mdtE	GENE	mdtE
ECK120002124	mdtF	GENE	mdtF
ECK120001314	mdtG	GENE	mdtG
ECK120003155	mdtH	GENE	mdtH
ECK120003446	mdtI	GENE	mdtI
ECK120003447	mdtJ	GENE	mdtJ
ECK120002262	mdtK	GENE	mdtK
ECK120001659	mdtL	GENE	mdtL
ECK120002324	mdtM	GENE	mdtM
ECK120001937	mdtQ	GENE	mdtQ
ECK120000570	melA	GENE	melA
ECK120000571	melB	GENE	melB
ECK120001208	melR	GENE	melR
ECK120001810	menA	GENE	menA
ECK120001336	menB	GENE	menB
ECK120001486	menC	GENE	menC
ECK120000572	menD	GENE	menD
ECK120002291	menE	GENE	menE
ECK120002230	menF	GENE	menF
ECK120002292	menH	GENE	menH
ECK120000573	mepA	GENE	mepA
ECK120000574	metA	GENE	metA
ECK120000575	metB	GENE	metB
ECK120000576	metC	GENE	metC
ECK120000577	metE	GENE	metE
ECK120000578	metF	GENE	metF
ECK120000579	metG	GENE	metG
ECK120000580	metH	GENE	metH
ECK120001676	metI	GENE	metI
ECK120000581	metJ	GENE	metJ
ECK120000582	metK	GENE	metK
ECK120000583	metL	GENE	metL
ECK120001569	metN	GENE	metN
ECK120001460	metQ	GENE	metQ
ECK120000584	metR	GENE	metR
ECK120002500	metT	GENE	metT
ECK120002501	metU	GENE	metU
ECK120002502	metV	GENE	metV
ECK120002559	metW	GENE	metW
ECK120002503	metY	GENE	metY
ECK120002504	metZ	GENE	metZ
ECK120001567	mfd	GENE	mfd
ECK120000585	mglA	GENE	mglA
ECK120000586	mglB	GENE	mglB
ECK120000587	mglC	GENE	mglC
ECK120003589	mgrB	GENE	mgrB
ECK125095180	mgrR	GENE	mgrR
ECK120003097	mgsA	GENE	mgsA
ECK120002316	mgtA	GENE	mgtA
ECK125121995	mgtA5'	GENE	mgtA5'
ECK125122027	mgtL	GENE	mgtL
ECK120004469	mhpA	GENE	mhpA
ECK120004470	mhpB	GENE	mhpB
ECK120004471	mhpC	GENE	mhpC
ECK120004472	mhpD	GENE	mhpD
ECK120002819	mhpE	GENE	mhpE
ECK120004473	mhpF	GENE	mhpF
ECK120002818	mhpR	GENE	mhpR
ECK120002820	mhpT	GENE	mhpT
ECK120000588	miaA	GENE	miaA
ECK120002971	miaB	GENE	miaB
ECK120002578	micA	GENE	micA
ECK120002612	micC	GENE	micC
ECK120002505	micF	GENE	micF
ECK120002642	micM	GENE	micM
ECK120000589	minC	GENE	minC
ECK120000590	minD	GENE	minD
ECK120000591	minE	GENE	minE
ECK120001180	mioC	GENE	mioC
ECK120003555	mipA	GENE	mipA
ECK120003791	mlaA	GENE	mlaA
ECK120004208	mlaB	GENE	mlaB
ECK120004209	mlaC	GENE	mlaC
ECK120002386	mlaD	GENE	mlaD
ECK120002387	mlaE	GENE	mlaE
ECK120002388	mlaF	GENE	mlaF
ECK120003441	mlc	GENE	mlc
ECK120001444	mliC	GENE	mliC
ECK120001927	mlrA	GENE	mlrA
ECK120004020	mltA	GENE	mltA
ECK120003977	mltB	GENE	mltB
ECK120004094	mltC	GENE	mltC
ECK120000240	mltD	GENE	mltD
ECK120001341	mltF	GENE	mltF
ECK120002756	mmuM	GENE	mmuM
ECK120002755	mmuP	GENE	mmuP
ECK120003348	mnaT	GENE	mnaT
ECK120002432	mngA	GENE	mngA
ECK120002433	mngB	GENE	mngB
ECK120001095	mngR	GENE	mngR
ECK120001315	mnmA	GENE	mnmA
ECK120003774	mnmC	GENE	mnmC
ECK120000986	mnmE	GENE	mnmE
ECK120000368	mnmG	GENE	mnmG
ECK120003828	mntH	GENE	mntH
ECK120003586	mntP	GENE	mntP
ECK120003020	mntR	GENE	mntR
ECK125140755	mntS	GENE	mntS
ECK120001543	moaA	GENE	moaA
ECK120001544	moaB	GENE	moaB
ECK120001609	moaC	GENE	moaC
ECK120001545	moaD	GENE	moaD
ECK120001546	moaE	GENE	moaE
ECK120001761	mobA	GENE	mobA
ECK120001760	mobB	GENE	mobB
ECK120004059	mocA	GENE	mocA
ECK120002283	modA	GENE	modA
ECK120000002	modB	GENE	modB
ECK120000148	modC	GENE	modC
ECK120002995	modE	GENE	modE
ECK120001620	modF	GENE	modF
ECK120000149	moeA	GENE	moeA
ECK120000150	moeB	GENE	moeB
ECK120001467	mog	GENE	mog
ECK120003326	mokB	GENE	mokB
ECK120000366	mokC	GENE	mokC
ECK120001917	molR_1	GENE	molR_1
ECK120004458	molR_2	GENE	molR_2
ECK120004459	molR_3	GENE	molR_3
ECK120000594	motA	GENE	motA
ECK120000595	motB	GENE	motB
ECK120003257	mpaA	GENE	mpaA
ECK120002294	mpl	GENE	mpl
ECK120003260	mppA	GENE	mppA
ECK120000596	mprA	GENE	mprA
ECK120001978	mqo	GENE	mqo
ECK120004129	mqsA	GENE	mqsA
ECK120004130	mqsR	GENE	mqsR
ECK120000597	mraY	GENE	mraY
ECK120001072	mraZ	GENE	mraZ
ECK120000739	mrcA	GENE	mrcA
ECK120000598	mrcB	GENE	mrcB
ECK120000599	mrdA	GENE	mrdA
ECK120000600	mrdB	GENE	mrdB
ECK120000601	mreB	GENE	mreB
ECK120000602	mreC	GENE	mreC
ECK120000603	mreD	GENE	mreD
ECK120000604	mrp	GENE	mrp
ECK120000605	mrr	GENE	mrr
ECK120000606	msbA	GENE	msbA
ECK120002864	mscK	GENE	mscK
ECK120001162	mscL	GENE	mscL
ECK120004336	mscM	GENE	mscM
ECK120001143	mscS	GENE	mscS
ECK120001397	msrA	GENE	msrA
ECK120002257	msrB	GENE	msrB
ECK120003592	msrC	GENE	msrC
ECK120001309	msyB	GENE	msyB
ECK120003649	mtfA	GENE	mtfA
ECK120004215	mtgA	GENE	mtgA
ECK120000608	mtlA	GENE	mtlA
ECK120000609	mtlD	GENE	mtlD
ECK120001891	mtlR	GENE	mtlR
ECK120001078	mtn	GENE	mtn
ECK120000610	mtr	GENE	mtr
ECK120002372	mug	GENE	mug
ECK120000611	mukB	GENE	mukB
ECK120001227	mukE	GENE	mukE
ECK120002061	mukF	GENE	mukF
ECK120001327	murA	GENE	murA
ECK120001185	murB	GENE	murB
ECK120000612	murC	GENE	murC
ECK120000613	murD	GENE	murD
ECK120000614	murE	GENE	murE
ECK120000615	murF	GENE	murF
ECK120000616	murG	GENE	murG
ECK120001184	murI	GENE	murI
ECK120003157	murJ	GENE	murJ
ECK120003838	murP	GENE	murP
ECK120003837	murQ	GENE	murQ
ECK120003836	murR	GENE	murR
ECK120000617	mutH	GENE	mutH
ECK120001254	mutL	GENE	mutL
ECK120000323	mutM	GENE	mutM
ECK120000618	mutS	GENE	mutS
ECK120000619	mutT	GENE	mutT
ECK120000620	mutY	GENE	mutY
ECK120004163	mzrA	GENE	mzrA
ECK120003658	nac	GENE	nac
ECK120000623	nadA	GENE	nadA
ECK120000624	nadB	GENE	nadB
ECK120001500	nadC	GENE	nadC
ECK120002957	nadD	GENE	nadD
ECK120000656	nadE	GENE	nadE
ECK120002081	nadK	GENE	nadK
ECK120001306	nadR	GENE	nadR
ECK120000625	nagA	GENE	nagA
ECK120000626	nagB	GENE	nagB
ECK120000629	nagC	GENE	nagC
ECK120000627	nagD	GENE	nagD
ECK120000628	nagE	GENE	nagE
ECK120003172	nagK	GENE	nagK
ECK120003163	nagZ	GENE	nagZ
ECK120000630	nanA	GENE	nanA
ECK120004416	nanC	GENE	nanC
ECK120004224	nanE	GENE	nanE
ECK120004223	nanK	GENE	nanK
ECK120004415	nanM	GENE	nanM
ECK120004225	nanR	GENE	nanR
ECK120004414	nanS	GENE	nanS
ECK120002695	nanT	GENE	nanT
ECK120001976	napA	GENE	napA
ECK120001973	napB	GENE	napB
ECK120001972	napC	GENE	napC
ECK120002044	napD	GENE	napD
ECK120001977	napF	GENE	napF
ECK120001975	napG	GENE	napG
ECK120001974	napH	GENE	napH
ECK120000631	narG	GENE	narG
ECK120000632	narH	GENE	narH
ECK120000633	narI	GENE	narI
ECK120000634	narJ	GENE	narJ
ECK120000635	narK	GENE	narK
ECK120000636	narL	GENE	narL
ECK120001481	narP	GENE	narP
ECK120001423	narQ	GENE	narQ
ECK120002052	narU	GENE	narU
ECK120000637	narV	GENE	narV
ECK120000638	narW	GENE	narW
ECK120000639	narX	GENE	narX
ECK120000640	narY	GENE	narY
ECK120000641	narZ	GENE	narZ
ECK125146691	nc1	GENE	nc1
ECK120000642	ndh	GENE	ndh
ECK120000643	ndk	GENE	ndk
ECK120002983	nei	GENE	nei
ECK120003479	nemA	GENE	nemA
ECK120003478	nemR	GENE	nemR
ECK120001632	nepI	GENE	nepI
ECK120001843	nfi	GENE	nfi
ECK120000644	nfo	GENE	nfo
ECK120001679	nfrA	GENE	nfrA
ECK120001678	nfrB	GENE	nfrB
ECK120001236	nfsA	GENE	nfsA
ECK120002564	nfsB	GENE	nfsB
ECK120004291	nfuA	GENE	nfuA
ECK120000645	nhaA	GENE	nhaA
ECK120001359	nhaB	GENE	nhaB
ECK120001066	nhaR	GENE	nhaR
ECK120003359	nhoA	GENE	nhoA
ECK120001981	nikA	GENE	nikA
ECK120001982	nikB	GENE	nikB
ECK120001983	nikC	GENE	nikC
ECK120001984	nikD	GENE	nikD
ECK120001985	nikE	GENE	nikE
ECK120001473	nikR	GENE	nikR
ECK120002912	ninE	GENE	ninE
ECK120000646	nirB	GENE	nirB
ECK120000647	nirC	GENE	nirC
ECK120000648	nirD	GENE	nirD
ECK120000650	nlpA	GENE	nlpA
ECK120001117	nlpC	GENE	nlpC
ECK120002015	nlpD	GENE	nlpD
ECK120002038	nlpE	GENE	nlpE
ECK120002239	nlpI	GENE	nlpI
ECK120000652	nmpC	GENE	nmpC
ECK120001581	nohA	GENE	nohA
ECK120001582	nohB	GENE	nohB
ECK120002013	norR	GENE	norR
ECK120003978	norV	GENE	norV
ECK120002302	norW	GENE	norW
ECK120002047	npr	GENE	npr
ECK120000653	nrdA	GENE	nrdA
ECK120000654	nrdB	GENE	nrdB
ECK120001382	nrdD	GENE	nrdD
ECK120002450	nrdE	GENE	nrdE
ECK120002248	nrdF	GENE	nrdF
ECK120004452	nrdG	GENE	nrdG
ECK120003968	nrdH	GENE	nrdH
ECK120003969	nrdI	GENE	nrdI
ECK120001291	nrdR	GENE	nrdR
ECK120001715	nrfA	GENE	nrfA
ECK120001872	nrfB	GENE	nrfB
ECK120001873	nrfC	GENE	nrfC
ECK120001874	nrfD	GENE	nrfD
ECK120001875	nrfE	GENE	nrfE
ECK120001876	nrfF	GENE	nrfF
ECK120001877	nrfG	GENE	nrfG
ECK120001192	nsrR	GENE	nsrR
ECK120000655	nth	GENE	nth
ECK120001122	nudB	GENE	nudB
ECK120001645	nudC	GENE	nudC
ECK120004283	nudE	GENE	nudE
ECK120002344	nudF	GENE	nudF
ECK120003542	nudG	GENE	nudG
ECK120003740	nudI	GENE	nudI
ECK120003176	nudJ	GENE	nudJ
ECK120002271	nudK	GENE	nudK
ECK120002358	nudL	GENE	nudL
ECK120001988	nuoA	GENE	nuoA
ECK120001989	nuoB	GENE	nuoB
ECK120001990	nuoC	GENE	nuoC
ECK120001991	nuoE	GENE	nuoE
ECK120001708	nuoF	GENE	nuoF
ECK120001992	nuoG	GENE	nuoG
ECK120001993	nuoH	GENE	nuoH
ECK120001994	nuoI	GENE	nuoI
ECK120001995	nuoJ	GENE	nuoJ
ECK120001996	nuoK	GENE	nuoK
ECK120001997	nuoL	GENE	nuoL
ECK120001707	nuoM	GENE	nuoM
ECK120001998	nuoN	GENE	nuoN
ECK120001896	nupC	GENE	nupC
ECK120000657	nupG	GENE	nupG
ECK120001946	nupX	GENE	nupX
ECK120000658	nusA	GENE	nusA
ECK120000659	nusB	GENE	nusB
ECK120000660	nusG	GENE	nusG
ECK120004206	obgE	GENE	obgE
ECK120003704	ogrK	GENE	ogrK
ECK120000661	ogt	GENE	ogt
ECK120030082	ohsC	GENE	ohsC
ECK120000662	ompA	GENE	ompA
ECK120000663	ompC	GENE	ompC
ECK120000664	ompF	GENE	ompF
ECK120003252	ompG	GENE	ompG
ECK120004316	ompL	GENE	ompL
ECK120003295	ompN	GENE	ompN
ECK120000665	ompR	GENE	ompR
ECK120000666	ompT	GENE	ompT
ECK120001108	ompW	GENE	ompW
ECK120002021	ompX	GENE	ompX
ECK120002580	omrA	GENE	omrA
ECK120002593	omrB	GENE	omrB
ECK120000667	oppA	GENE	oppA
ECK120000668	oppB	GENE	oppB
ECK120000669	oppC	GENE	oppC
ECK120000670	oppD	GENE	oppD
ECK120000671	oppF	GENE	oppF
ECK120004338	orn	GENE	orn
ECK120000672	osmB	GENE	osmB
ECK120000673	osmC	GENE	osmC
ECK120000040	osmE	GENE	osmE
ECK120001931	osmF	GENE	osmF
ECK120001358	osmY	GENE	osmY
ECK120001689	otsA	GENE	otsA
ECK120001690	otsB	GENE	otsB
ECK120003811	oxc	GENE	oxc
ECK120000674	oxyR	GENE	oxyR
ECK120002558	oxyS	GENE	oxyS
ECK120003303	paaA	GENE	paaA
ECK120003304	paaB	GENE	paaB
ECK120003305	paaC	GENE	paaC
ECK120003306	paaD	GENE	paaD
ECK120003307	paaE	GENE	paaE
ECK120003308	paaF	GENE	paaF
ECK120003309	paaG	GENE	paaG
ECK120003310	paaH	GENE	paaH
ECK120003311	paaI	GENE	paaI
ECK120003312	paaJ	GENE	paaJ
ECK120003313	paaK	GENE	paaK
ECK120003314	paaX	GENE	paaX
ECK120003315	paaY	GENE	paaY
ECK120003302	paaZ	GENE	paaZ
ECK120000675	pabA	GENE	pabA
ECK120000676	pabB	GENE	pabB
ECK120001449	pabC	GENE	pabC
ECK120001850	pagB	GENE	pagB
ECK120002073	pagP	GENE	pagP
ECK120000677	pal	GENE	pal
ECK120001618	panB	GENE	panB
ECK120001684	panC	GENE	panC
ECK120001685	panD	GENE	panD
ECK120002850	panE	GENE	panE
ECK120000678	panF	GENE	panF
ECK120002777	paoA	GENE	paoA
ECK120002776	paoB	GENE	paoB
ECK120002775	paoC	GENE	paoC
ECK120002774	paoD	GENE	paoD
ECK120000679	parC	GENE	parC
ECK120000680	parE	GENE	parE
ECK120004037	pbl	GENE	pbl
ECK120003894	pbpC	GENE	pbpC
ECK120001933	pbpG	GENE	pbpG
ECK120000681	pck	GENE	pck
ECK120000682	pcm	GENE	pcm
ECK120000683	pcnB	GENE	pcnB
ECK120001076	pdhR	GENE	pdhR
ECK120000684	pdxA	GENE	pdxA
ECK120002648	pdxB	GENE	pdxB
ECK120001443	pdxH	GENE	pdxH
ECK120000685	pdxJ	GENE	pdxJ
ECK120003833	pdxK	GENE	pdxK
ECK120003468	pdxY	GENE	pdxY
ECK120000686	pepA	GENE	pepA
ECK120002187	pepB	GENE	pepB
ECK120000687	pepD	GENE	pepD
ECK120001848	pepE	GENE	pepE
ECK120000688	pepN	GENE	pepN
ECK120000689	pepP	GENE	pepP
ECK120000690	pepQ	GENE	pepQ
ECK120001503	pepT	GENE	pepT
ECK120002749	perR	GENE	perR
ECK120000691	pfkA	GENE	pfkA
ECK120000692	pfkB	GENE	pfkB
ECK120000025	pflA	GENE	pflA
ECK120000693	pflB	GENE	pflB
ECK120001839	pflC	GENE	pflC
ECK120001838	pflD	GENE	pflD
ECK120003129	pgaA	GENE	pgaA
ECK120003128	pgaB	GENE	pgaB
ECK120003127	pgaC	GENE	pgaC
ECK120003126	pgaD	GENE	pgaD
ECK120000694	pgi	GENE	pgi
ECK120000695	pgk	GENE	pgk
ECK120002997	pgl	GENE	pgl
ECK120002045	pgm	GENE	pgm
ECK120000696	pgpA	GENE	pgpA
ECK120000697	pgpB	GENE	pgpB
ECK120001339	pgpC	GENE	pgpC
ECK120000698	pgsA	GENE	pgsA
ECK120000699	pheA	GENE	pheA
ECK120001245	pheL	GENE	pheL
ECK120001246	pheM	GENE	pheM
ECK120000700	pheP	GENE	pheP
ECK120000701	pheS	GENE	pheS
ECK120000702	pheT	GENE	pheT
ECK120002506	pheU	GENE	pheU
ECK120002507	pheV	GENE	pheV
ECK120000705	phnC	GENE	phnC
ECK120000706	phnD	GENE	phnD
ECK120001256	phnE_1	GENE	phnE_1
ECK120004320	phnE_2	GENE	phnE_2
ECK120000707	phnF	GENE	phnF
ECK120000708	phnG	GENE	phnG
ECK120000709	phnH	GENE	phnH
ECK120000710	phnI	GENE	phnI
ECK120000711	phnJ	GENE	phnJ
ECK120000712	phnK	GENE	phnK
ECK120000713	phnL	GENE	phnL
ECK120000714	phnM	GENE	phnM
ECK120000715	phnN	GENE	phnN
ECK120000716	phnO	GENE	phnO
ECK120000717	phnP	GENE	phnP
ECK120000718	phoA	GENE	phoA
ECK120000719	phoB	GENE	phoB
ECK120000720	phoE	GENE	phoE
ECK120001673	phoH	GENE	phoH
ECK120000722	phoP	GENE	phoP
ECK120000723	phoQ	GENE	phoQ
ECK120000724	phoR	GENE	phoR
ECK120000726	phoU	GENE	phoU
ECK120004274	php	GENE	php
ECK120000727	phr	GENE	phr
ECK120000728	pinE	GENE	pinE
ECK120003951	pinH	GENE	pinH
ECK120003408	pinQ	GENE	pinQ
ECK120003292	pinR	GENE	pinR
ECK120002114	pitA	GENE	pitA
ECK120002422	pitB	GENE	pitB
ECK120003920	pka	GENE	pka
ECK120001826	plaP	GENE	plaP
ECK120000729	pldA	GENE	pldA
ECK120000730	pldB	GENE	pldB
ECK120003210	pliG	GENE	pliG
ECK120000731	plsB	GENE	plsB
ECK120001345	plsC	GENE	plsC
ECK120001401	plsX	GENE	plsX
ECK120000732	pmbA	GENE	pmbA
ECK120003748	pmrD	GENE	pmrD
ECK125135313	pmrR	GENE	pmrR
ECK120001119	pncA	GENE	pncA
ECK120000733	pncB	GENE	pncB
ECK120003976	pncC	GENE	pncC
ECK120000734	pnp	GENE	pnp
ECK120000735	pntA	GENE	pntA
ECK120000736	pntB	GENE	pntB
ECK120001643	pnuC	GENE	pnuC
ECK120000737	polA	GENE	polA
ECK120000738	polB	GENE	polB
ECK120000740	potA	GENE	potA
ECK120000741	potB	GENE	potB
ECK120000742	potC	GENE	potC
ECK120000743	potD	GENE	potD
ECK120000744	potE	GENE	potE
ECK120001577	potF	GENE	potF
ECK120001578	potG	GENE	potG
ECK120001579	potH	GENE	potH
ECK120001580	potI	GENE	potI
ECK120000745	poxB	GENE	poxB
ECK120000746	ppa	GENE	ppa
ECK120000747	ppc	GENE	ppc
ECK120001987	ppdA	GENE	ppdA
ECK120001139	ppdB	GENE	ppdB
ECK120001137	ppdC	GENE	ppdC
ECK120002012	ppdD	GENE	ppdD
ECK120003598	pphA	GENE	pphA
ECK120003980	pphB	GENE	pphB
ECK120000748	ppiA	GENE	ppiA
ECK120000749	ppiB	GENE	ppiB
ECK120002222	ppiC	GENE	ppiC
